,YearSampled,Pasture,Plot,Transect,Distance,AG,BOBU,C3PG,FORB,SD,WSPG,SS,OTHER,NA,Block,Treatment,Ecosite,PastureSize_ha,X,Y
83,2013,19N,2,1,10,0,297.62,437.55,10.23,174.38,31.22,211.51,0,0,6,TGM,Sandy,129.18,524279,4519140
84,2013,19N,2,1,20,0,393.42,18.84,59.74,95.8,0,0,0,0,6,TGM,Sandy,129.18,524279,4519140
85,2013,19N,2,4,10,0,128.09,864.34,3.23,265.33,0,0,0,0,6,TGM,Sandy,129.18,524279,4519140
86,2013,19N,2,4,20,0,255.64,11.3,5.92,248.65,124.86,0,0,0,6,TGM,Sandy,129.18,524279,4519140
87,2013,19N,3,1,10,0,36.06,379.97,0,453.16,508.6,0,0,0,6,TGM,Sandy,129.18,524632,4519370
88,2013,19N,3,1,20,0,134.01,347.67,7.53,369.2,91.49,0,0,0,6,TGM,Sandy,129.18,524632,4519370
89,2013,19N,3,4,10,0,332.07,114.64,10.23,4.84,0,0,0,0,6,TGM,Sandy,129.18,524632,4519370
90,2013,19N,3,4,20,0,260.49,0,57.05,5.38,0,0,0,0,6,TGM,Sandy,129.18,524632,4519370
91,2013,19N,4,1,10,0,426.25,0,41.98,171.68,82.88,0,0,0,6,TGM,Sandy,129.18,524671,4518980
92,2013,19N,4,1,20,0,307.85,348.75,0,92.03,0,93.65,0,0,6,TGM,Sandy,129.18,524671,4518980
93,2013,19N,4,4,10,0,332.07,41.44,3.77,9.69,0,0,0,0,6,TGM,Sandy,129.18,524671,4518980
94,2013,19N,4,4,20,0,68.35,40.9,674.36,5.38,0,0,0,0,6,TGM,Sandy,129.18,524671,4518980
95,2013,20NW,1,1,10,0,5.92,731.41,19.91,327.22,114.1,0,0,0,10,AGM,Sandy,128.56,525786,4518290
96,2013,20NW,1,1,20,0,0,727.64,0,330.99,11.84,0,0,0,10,AGM,Sandy,128.56,525786,4518290
97,2013,20NW,1,4,10,0,223.35,862.19,0,629.69,299.78,0,0,0,10,AGM,Sandy,128.56,525786,4518290
98,2013,20NW,1,4,20,0,168.46,658.21,0,642.61,52.74,0,0,0,10,AGM,Sandy,128.56,525786,4518290
99,2013,20NW,2,1,10,4.84,0,330.45,15.61,237.88,575.87,0,0,0,10,AGM,Sandy,128.56,526107,4518590
100,2013,20NW,2,1,20,9.69,9.69,235.73,110.33,20.99,171.68,0,0,0,10,AGM,Sandy,128.56,526107,4518590
101,2013,20NW,2,4,10,0,890.71,756.17,0,270.17,0,0,0,0,10,AGM,Sandy,128.56,526107,4518590
102,2013,20NW,2,4,20,0,0,1243.23,0,599.55,44.67,0,0,0,10,AGM,Sandy,128.56,526107,4518590
103,2013,20NW,3,1,10,73.73,779.31,0,0,26.37,2.15,0,0,0,10,AGM,Sandy,128.56,525793,4519020
104,2013,20NW,3,1,20,224.97,0,0,120.56,110.87,789.53,0,0,0,10,AGM,Sandy,128.56,525793,4519020
105,2013,20NW,3,4,10,65.66,0,159.84,0.54,151.23,789,0,0,0,10,AGM,Sandy,128.56,525793,4519020
106,2013,20NW,3,4,20,0,770.7,57.05,44.13,59.74,48.98,0,0,0,10,AGM,Sandy,128.56,525793,4519020
107,2013,20NW,4,1,10,164.69,64.58,0,104.41,192.67,847.12,0,0,0,10,AGM,Sandy,128.56,525786,4519290
108,2013,20NW,4,1,20,18.84,69.97,347.67,9.69,1509.64,778.77,0,0,0,10,AGM,Sandy,128.56,525786,4519290
109,2013,20NW,4,4,10,3.77,39.83,31.75,546.81,12.92,268.56,0,0,0,10,AGM,Sandy,128.56,525786,4519290
110,2013,20NW,4,4,20,20.99,0,224.97,108.72,501.6,357.36,0,0,0,10,AGM,Sandy,128.56,525786,4519290
111,2013,20NW,5,1,10,0,27.99,601.16,0,1432.68,1677.56,0,0,0,10,AGM,Salt Flats,128.56,526671,4519170
112,2013,20NW,5,1,20,19.38,509.67,185.14,24.22,419.25,252.95,0,0,0,10,AGM,Salt Flats,128.56,526671,4519170
113,2013,20NW,5,4,10,0,375.66,315.92,0,202.36,249.72,0,0,0,10,AGM,Salt Flats,128.56,526671,4519170
114,2013,20NW,5,4,20,0,289.01,0,11.84,431.09,1281.44,0,0,0,10,AGM,Salt Flats,128.56,526671,4519170
115,2013,20NW,6,1,10,0,148,142.62,15.61,264.25,553.8,0,0,0,10,AGM,Salt Flats,128.56,526563,4519400
116,2013,20NW,6,1,20,0,52.74,221.74,24.76,824.52,1423.53,0,0,0,10,AGM,Salt Flats,128.56,526563,4519400
117,2013,20NW,6,4,10,0,234.65,38.21,0,157.15,681.36,0,0,0,10,AGM,Salt Flats,128.56,526563,4519400
118,2013,20NW,6,4,20,0,942.92,440.24,0,280.94,36.06,0,0,0,10,AGM,Salt Flats,128.56,526563,4519400
119,2013,20SE,1,1,20,0,0,432.17,0,150.16,496.75,0,0,0,10,TGM,Sandy,129.46,526233,4518150
120,2013,20SE,1,4,10,0,0,1033.87,0,934.31,0,0,0,0,10,TGM,Sandy,129.46,526233,4518150
121,2013,20SE,1,4,20,0,0,1530.63,4.31,630.23,46.82,0,0,0,10,TGM,Sandy,129.46,526233,4518150
122,2013,20SE,2,1,10,0,0,968.75,90.96,586.1,534.97,0,0,0,10,TGM,Sandy,129.46,526512,4518240
123,2013,20SE,2,1,20,0,0,1090.38,104.95,19.91,301.39,0,0,0,10,TGM,Sandy,129.46,526512,4518240
124,2013,20SE,2,4,10,0,0,1528.48,0,1445.59,149.08,0,0,0,10,TGM,Sandy,129.46,526512,4518240
125,2013,20SE,2,4,20,0,0,790.07,8.07,32.83,315.38,0,0,0,10,TGM,Sandy,129.46,526512,4518240
126,2013,20SE,3,1,10,0,207.74,987.59,0,888.56,0,0,0,0,10,TGM,Sandy,129.46,526307,4518420
127,2013,20SE,3,1,20,0,205.59,269.1,31.22,15.07,0,0,0,0,10,TGM,Sandy,129.46,526307,4518420
128,2013,20SE,3,4,10,0,43.59,551.65,7.53,145.31,49.51,0,0,0,10,TGM,Sandy,129.46,526307,4518420
129,2013,20SE,3,4,20,0,692.12,0,116.79,60.28,0,0,0,0,10,TGM,Sandy,129.46,526307,4518420
130,2013,20SE,4,1,10,0,240.04,8.07,0,1272.83,780.38,0,0,0,10,TGM,Salt Flats,129.46,526928,4518640
131,2013,20SE,4,1,20,0,571.03,95.26,0,684.59,691.58,0,0,0,10,TGM,Salt Flats,129.46,526928,4518640
132,2013,20SE,4,4,10,0,308.92,809.45,19.91,249.18,53.28,0,0,0,10,TGM,Salt Flats,129.46,526928,4518640
133,2013,20SE,4,4,20,0,446.16,250.8,4.31,186.75,147.47,0,0,0,10,TGM,Salt Flats,129.46,526928,4518640
134,2013,20SE,5,1,10,64.05,30.68,119.48,20.99,130.24,206.67,0,0,0,10,TGM,Salt Flats,129.46,526878,4518880
