Row,YearSampled,Pasture,C3PGObj,Plot,Transect,Distance,Block,Treatment,Ecosite,FGCode,kgPerHa
184,2013,17S,NonMCLO,1,4,20,9,AGM,Loamy,SD,10.2257202
185,2013,17S,NonMCLO,1,4,20,9,AGM,Loamy,WSPG,484.37622
186,2013,17S,NonMCLO,2,1,10,9,AGM,Loamy,AG,32.291748
187,2013,17S,NonMCLO,2,1,10,9,AGM,Loamy,BOBU,244.879089
188,2013,17S,NonMCLO,2,1,10,9,AGM,Loamy,C3PG,38.7500976
189,2013,17S,NonMCLO,2,1,10,9,AGM,Loamy,FORB,19.3750488
190,2013,17S,NonMCLO,2,1,10,9,AGM,Loamy,SD,43.055664
191,2013,17S,NonMCLO,2,1,20,9,AGM,Loamy,AG,8.6111328
192,2013,17S,NonMCLO,2,1,20,9,AGM,Loamy,BOBU,292.7785152
193,2013,17S,NonMCLO,2,1,20,9,AGM,Loamy,SD,7.5347412
194,2013,17S,NonMCLO,2,1,20,9,AGM,Loamy,WSPG,38.2119018
195,2013,17S,NonMCLO,2,4,10,9,AGM,Loamy,BOBU,678.6649038
196,2013,17S,NonMCLO,2,4,10,9,AGM,Loamy,C3PG,18.836853
197,2013,17S,NonMCLO,2,4,10,9,AGM,Loamy,FORB,165.2261106
198,2013,17S,NonMCLO,2,4,10,9,AGM,Loamy,SD,903.0925524
199,2013,17S,NonMCLO,2,4,10,9,AGM,Loamy,WSPG,168.9934812
200,2013,17S,NonMCLO,2,4,20,9,AGM,Loamy,BOBU,417.6399408
201,2013,17S,NonMCLO,2,4,20,9,AGM,Loamy,C3PG,171.1462644
202,2013,17S,NonMCLO,2,4,20,9,AGM,Loamy,FORB,34.4445312
203,2013,17S,NonMCLO,2,4,20,9,AGM,Loamy,SD,195.9032712
204,2013,17S,NonMCLO,2,4,20,9,AGM,Loamy,SS,94.7224608
205,2013,17S,,3,1,10,9,AGM,Salt Flats,AG,3.7673706
206,2013,17S,,3,1,10,9,AGM,Salt Flats,BOBU,255.643005
207,2013,17S,,3,1,10,9,AGM,Salt Flats,C3PG,418.7163324
208,2013,17S,,3,1,10,9,AGM,Salt Flats,SD,800.8353504
209,2013,17S,,3,1,10,9,AGM,Salt Flats,SS,1311.583165
210,2013,17S,,3,1,20,9,AGM,Salt Flats,BOBU,327.2230464
211,2013,17S,,3,1,20,9,AGM,Salt Flats,C3PG,207.7435788
212,2013,17S,,3,1,20,9,AGM,Salt Flats,FORB,172.222656
213,2013,17S,,3,1,20,9,AGM,Salt Flats,SD,159.3059568
214,2013,17S,,3,1,20,9,AGM,Salt Flats,WSPG,92.5696776
215,2013,17S,,3,4,10,9,AGM,Salt Flats,BOBU,219.5838864
216,2013,17S,,3,4,10,9,AGM,Salt Flats,C3PG,2355.144821
217,2013,17S,,3,4,10,9,AGM,Salt Flats,FORB,51.6667968
218,2013,17S,,3,4,10,9,AGM,Salt Flats,SD,1819.101804
219,2013,17S,,3,4,20,9,AGM,Salt Flats,BOBU,481.685241
220,2013,17S,,3,4,20,9,AGM,Salt Flats,C3PG,491.9109612
221,2013,17S,,3,4,20,9,AGM,Salt Flats,FORB,94.184265
222,2013,17S,,3,4,20,9,AGM,Salt Flats,SD,629.689086
223,2013,17S,,3,4,20,9,AGM,Salt Flats,WSPG,1594.674155
224,2013,17S,,4,1,10,9,AGM,Salt Flats,BOBU,93.6460692
225,2013,17S,,4,1,10,9,AGM,Salt Flats,C3PG,932.1551256
226,2013,17S,,4,1,10,9,AGM,Salt Flats,SD,1078.006187
227,2013,17S,,4,1,10,9,AGM,Salt Flats,SS,68.8890624
228,2013,17S,,4,1,10,9,AGM,Salt Flats,WSPG,7.5347412
229,2013,17S,,4,1,20,9,AGM,Salt Flats,BOBU,571.0257438
230,2013,17S,,4,1,20,9,AGM,Salt Flats,C3PG,96.875244
231,2013,17S,,4,1,20,9,AGM,Salt Flats,FORB,23.6806152
232,2013,17S,,4,1,20,9,AGM,Salt Flats,SD,221.1984738
233,2013,17S,,4,1,20,9,AGM,Salt Flats,SS,75.8856078
234,2013,17S,,4,4,10,9,AGM,Salt Flats,BOBU,369.2023188
235,2013,17S,,4,4,10,9,AGM,Salt Flats,C3PG,505.904052
236,2013,17S,,4,4,10,9,AGM,Salt Flats,SD,1041.408873
237,2013,17S,,4,4,10,9,AGM,Salt Flats,WSPG,1243.770494
238,2013,17S,,4,4,20,9,AGM,Salt Flats,BOBU,418.7163324
239,2013,17S,,4,4,20,9,AGM,Salt Flats,C3PG,266.406921
240,2013,17S,,4,4,20,9,AGM,Salt Flats,SD,1318.57971
241,2013,17S,,4,4,20,9,AGM,Salt Flats,WSPG,242.7263058
242,2013,17S,,5,1,10,9,AGM,Sandy,BOBU,267.4833126
243,2013,17S,,5,1,10,9,AGM,Sandy,C3PG,364.8967524
244,2013,17S,,5,1,10,9,AGM,Sandy,SD,76.4238036
245,2013,17S,,5,1,10,9,AGM,Sandy,WSPG,56.510559
246,2013,17S,,5,1,20,9,AGM,Sandy,BOBU,366.5113398
247,2013,17S,,5,1,20,9,AGM,Sandy,C3PG,118.9412718
248,2013,17S,,5,1,20,9,AGM,Sandy,FORB,55.4341674
249,2013,17S,,5,1,20,9,AGM,Sandy,SD,189.4449216
250,2013,17S,,5,4,10,9,AGM,Sandy,BOBU,614.0814078
251,2013,17S,,5,4,10,9,AGM,Sandy,C3PG,61.892517
252,2013,17S,,5,4,10,9,AGM,Sandy,SD,340.6779414
253,2013,17S,,5,4,10,9,AGM,Sandy,WSPG,24.7570068
254,2013,17S,,5,4,20,9,AGM,Sandy,BOBU,489.758178
255,2013,17S,,5,4,20,9,AGM,Sandy,C3PG,48.437622
256,2013,17S,,5,4,20,9,AGM,Sandy,FORB,40.364685
257,2013,17S,,5,4,20,9,AGM,Sandy,SD,148.003845
258,2013,17S,,5,4,20,9,AGM,Sandy,WSPG,335.2959834
259,2013,17S,,6,1,10,9,AGM,Sandy,BOBU,22.0660278
260,2013,17S,,6,1,10,9,AGM,Sandy,C3PG,1203.944005
261,2013,17S,,6,1,10,9,AGM,Sandy,FORB,34.982727
262,2013,17S,,6,1,10,9,AGM,Sandy,SD,2535.97861
263,2013,17S,,6,1,20,9,AGM,Sandy,BOBU,23.1424194
264,2013,17S,,6,1,20,9,AGM,Sandy,C3PG,1121.600047
265,2013,17S,,6,1,20,9,AGM,Sandy,FORB,0.5381958
266,2013,17S,,6,1,20,9,AGM,Sandy,SD,995.1240342
267,2013,17S,,6,4,10,9,AGM,Sandy,AG,5.9201538
268,2013,17S,,6,4,10,9,AGM,Sandy,BOBU,508.595031
269,2013,17S,,6,4,10,9,AGM,Sandy,FORB,22.0660278
270,2013,17S,,6,4,10,9,AGM,Sandy,SD,99.566223
271,2013,17S,,6,4,10,9,AGM,Sandy,WSPG,129.7051878
272,2013,17S,,6,4,20,9,AGM,Sandy,BOBU,474.6886956
273,2013,17S,,6,4,20,9,AGM,Sandy,C3PG,865.4188464
274,2013,17S,,6,4,20,9,AGM,Sandy,SD,378.8898432
275,2013,17S,,6,4,20,9,AGM,Sandy,WSPG,25.2952026
276,2013,18S,,1,1,10,6,AGM,Sandy,BOBU,359.5147944
277,2013,18S,,1,1,10,6,AGM,Sandy,C3PG,28.5243774
278,2013,18S,,1,1,10,6,AGM,Sandy,FORB,1054.325572
279,2013,18S,,1,1,10,6,AGM,Sandy,SD,618.3869742
280,2013,18S,,1,1,10,6,AGM,Sandy,WSPG,89.8786986
281,2013,18S,,1,1,20,6,AGM,Sandy,BOBU,355.209228
282,2013,18S,,1,1,20,6,AGM,Sandy,FORB,282.552795
283,2013,18S,,1,1,20,6,AGM,Sandy,SD,177.0664182
284,2013,18S,,1,1,20,6,AGM,Sandy,WSPG,23.1424194
285,2013,18S,,1,4,10,6,AGM,Sandy,BOBU,149.6184324
286,2013,18S,,1,4,10,6,AGM,Sandy,C3PG,435.938598
287,2013,18S,,1,4,10,6,AGM,Sandy,FORB,18.836853
288,2013,18S,,1,4,10,6,AGM,Sandy,SD,51.128601
289,2013,18S,,1,4,10,6,AGM,Sandy,WSPG,11.3021118
290,2013,18S,,1,4,20,6,AGM,Sandy,BOBU,163.0733274
291,2013,18S,,1,4,20,6,AGM,Sandy,C3PG,409.028808
292,2013,18S,,1,4,20,6,AGM,Sandy,SD,114.6357054
293,2013,18S,,2,1,10,6,AGM,Sandy,BOBU,60.8161254
294,2013,18S,,2,1,10,6,AGM,Sandy,C3PG,948.8391954
295,2013,18S,,2,1,10,6,AGM,Sandy,SD,117.3266844
296,2013,18S,,2,1,20,6,AGM,Sandy,BOBU,91.493286
297,2013,18S,,2,1,20,6,AGM,Sandy,C3PG,626.4599112
298,2013,18S,,2,1,20,6,AGM,Sandy,FORB,0.2690979
299,2013,18S,,2,1,20,6,AGM,Sandy,SD,101.7190062
300,2013,18S,,2,1,20,6,AGM,Sandy,WSPG,16.6840698
301,2013,18S,,2,4,10,6,AGM,Sandy,BOBU,485.4526116
302,2013,18S,,2,4,10,6,AGM,Sandy,C3PG,140.4691038
303,2013,18S,,2,4,10,6,AGM,Sandy,SD,70.5036498
304,2013,18S,,2,4,10,6,AGM,Sandy,SS,73.7328246
305,2013,18S,,2,4,20,6,AGM,Sandy,BOBU,562.414611
306,2013,18S,,2,4,20,6,AGM,Sandy,C3PG,11.8403076
307,2013,18S,,2,4,20,6,AGM,Sandy,FORB,74.8092162
308,2013,18S,,2,4,20,6,AGM,Sandy,SD,31.7535522
309,2013,18S,,3,1,10,6,AGM,Sandy,BOBU,594.1681632
310,2013,18S,,3,1,10,6,AGM,Sandy,C3PG,48.9758178
311,2013,18S,,3,1,10,6,AGM,Sandy,FORB,26.3715942
312,2013,18S,,3,1,10,6,AGM,Sandy,SD,37.1355102
313,2013,18S,,3,1,20,6,AGM,Sandy,BOBU,266.406921
314,2013,18S,,3,1,20,6,AGM,Sandy,C3PG,83.420349
315,2013,18S,,3,1,20,6,AGM,Sandy,SD,24.7570068
316,2013,18S,,3,4,10,6,AGM,Sandy,BOBU,122.1704466
317,2013,18S,,3,4,10,6,AGM,Sandy,C3PG,357.900207
318,2013,18S,,3,4,10,6,AGM,Sandy,FORB,11.8403076
