  172 TX2677.DLY     32.87  -97.45    232. EAGLE MOUNTAIN L
  173 TX2678.DLY     32.88  -97.47    207. EAGLE MOUNTAIN L
  174 TX2679.DLY     28.71 -100.48    246. EAGLE PASS      
  175 TX2715.DLY     32.40  -98.82    437. EASTLAND        
  176 TX2741.DLY     31.22  -99.85    625. EDEN            
  177 TX2744.DLY     31.22  -99.85    631. EDEN 2          
  178 TX2768.DLY     28.97  -96.68     21. EDNA HIWAY 59 BR
  179 TX2769.DLY     28.95  -96.68     21. EDNA 3 SW       
  180 TX2786.DLY     29.20  -96.26     34. EL CAMPO        
  181 TX2792.DLY     30.83 -100.58    742. ELDORADO 2 SE   
  182 TX2793.DLY     31.81 -106.37   1194. EL PASO #2      
  183 TX2794.DLY     31.83 -105.96   1597. EL PASO 32 ENE  
  184 TX2797.DLY     31.81 -106.38   1194. EL PASO AP      
  185 TX2809.DLY     30.87 -100.60    744. ELDORADO        
  186 TX2812.DLY     30.97 -100.70    759. ELDORADO 11 NW  
  187 TX2815.DLY     31.04 -100.59    725. ELDORADO 12 N   
  188 TX2816.DLY     30.82 -100.75    744. ELDORADO 10W    
  189 TX2818.DLY     34.03  -98.91    371. ELECTRA         
  190 TX2820.DLY     30.35  -97.37    176. ELGIN           
  191 TX2879.DLY     26.58  -98.87     62. EL SAUZ         
  192 TX2902.DLY     32.86  -95.77    133. EMORY           
  193 TX2906.DLY     28.02  -99.35    177. ENCINAL         
  194 TX2917.DLY     26.33  -98.02     21. ENGLEMAN GARDENS
  195 TX3000.DLY     30.33  -94.08     10. EVADALE         
  196 TX3005.DLY     31.46  -98.16    380. EVANT 1SSW      
  197 TX3033.DLY     31.50 -106.15   1101. FABENS          
  198 TX3047.DLY     31.73  -96.21    132. FAIRFIELD 3 W   
  199 TX3060.DLY     26.56  -99.14     98. FALCON DAM      
  200 TX3063.DLY     27.21  -98.12     37. FALFURRIAS      
  201 TX3080.DLY     33.17  -96.37    192. FARMERSVILLE    
  202 TX3133.DLY     32.52  -96.67    143. FERRIS          
  203 TX3142.DLY     31.38  -99.37    424. FIFE            
  204 TX3183.DLY     29.68  -97.11    158. FLATONIA        
  205 TX3199.DLY     30.80  -97.76    296. FLORENCE 3 SE   
  206 TX3201.DLY     29.13  -98.16    122. FLORESVILLE     
  207 TX3214.DLY     33.99 -101.34    981. FLOYDADA        
  208 TX3225.DLY     36.43 -100.14    844. FOLLETT         
